level,code,name,harmonization_note
3,020699,"Pet and animal care, n.e.c.*",
3,020701,Vehicle repair and maintenance (by self),
3,020799,"Vehicles, n.e.c.*",
3,020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",
3,020899,"Appliances and tools, n.e.c.*",
3,020901,Financial management,
3,020902,Household & personal organization and planning,
3,020903,HH & personal mail & messages (except e-mail),
3,020904,HH & personal e-mail and messages,
3,020905,Home security,
3,020999,"Household management, n.e.c.*",
3,029999,"Household activities, n.e.c.*",
3,030101,Physical care for hh children,
3,030102,Reading to/with hh children,
3,030103,"Playing with hh children, not sports",
3,030104,Arts and crafts with hh children,
3,030105,Playing sports with hh children,
3,030108,Organization & planning for hh children,
3,030109,Looking after hh children (as a primary activity),
3,030110,Attending hh children's events,
3,030111,Waiting for/with hh children,
3,030112,Picking up/dropping off hh children,
3,030186,Talking with/listening to hh children,"includes 030106 (all years), 030107 (2003)"
3,030199,"Caring for & helping hh children, n.e.c.*",
3,030201,Homework (hh children),
3,030202,Meetings and school conferences (hh children),
3,030203,Home schooling of hh children,
3,030204,Waiting associated with hh children's education,
3,030299,"Activities related to hh child's education, n.e.c.*",
3,030301,Providing medical care to hh children,
3,030302,Obtaining medical care for hh children,
3,030303,Waiting associated with hh children's health,
3,030399,"Activities related to hh child's health, n.e.c.*",
3,030401,Physical care for hh adults,
3,030402,Looking after hh adult (as a primary activity),
3,030403,Providing medical care to hh adult,
3,030404,Obtaining medical and care services for hh adult,
3,030405,Waiting associated with caring for household adults,
3,030499,"Caring for household adults, n.e.c.*",
3,030501,Helping hh adults,
3,030502,Organization & planning for hh adults,
3,030503,Picking up/dropping off hh adult,
3,030504,Waiting associated with helping hh adults,
3,030599,"Helping household adults, n.e.c.*",
3,039999,"Caring for & helping hh members, n.e.c.*",
3,040101,Physical care for nonhh children,
3,040102,Reading to/with nonhh children,
3,040103,"Playing with nonhh children, not sports",
3,040104,Arts and crafts with nonhh children,
3,040105,Playing sports with nonhh children,
3,040108,Organization & planning for nonhh children,
3,040109,Looking after nonhh children (as primary activity),
3,040110,Attending nonhh children's events,
3,040111,Waiting for/with nonhh children,
3,040112,Dropping off/picking up nonhh children,
3,040186,Talking with/listening to nonhh children,"Includes 040106 (all years), 040107 (2003)"
3,040199,"Caring for and helping nonhh children, n.e.c.*",
3,040201,Homework (nonhh children),
3,040202,Meetings and school conferences (nonhh children),
3,040203,Home schooling of nonhh children,
3,040204,Waiting associated with nonhh children's education,
3,040299,"Activities related to nonhh child's educ., n.e.c.*",
3,040301,Providing medical care to nonhh children,
3,040302,Obtaining medical care for nonhh children,
3,040303,Waiting associated with nonhh children's health,
3,040399,"Activities related to nonhh child's health, n.e.c.*",
3,040401,Physical care for nonhh adults,
3,040402,Looking after nonhh adult (as a primary activity),
3,040403,Providing medical care to nonhh adult,
3,040404,Obtaining medical and care services for nonhh adult,
3,040405,Waiting associated with caring for nonhh adults,
3,040499,"Caring for nonhh adults, n.e.c.*",
3,040501,"Housework, cooking, & shopping assistance for nonhh adults",
3,040502,House & lawn maintenance & repair assistance for nonhh adults,
3,040503,Animal & pet care assistance for nonhh adults,
